item_code,construct,question,response_type,options,constraint
RF02,Regulatory Focus,I'm not bothered about reviewing or checking things really closely,single_select,Definitely untrue|Not true|Probably not true|Neither true nor untrue|Probably true|True|Definitely true,0
RF03,Regulatory Focus,I like to do things in a new way,single_select,Definitely untrue|Not true|Probably not true|Neither true nor untrue|Probably true|True|Definitely true,0
RF04,Regulatory Focus,"I like trying out lots of different things, and am often successful in doing so",single_select,Definitely untrue|Not true|Probably not true|Neither true nor untrue|Probably true|True|Definitely true,0
TS01,Spending Habits,Which of the following best describes your spending habits?,single_select,Tightwad (difficulty spending money)|Leaning tightwad|Slightly tightwad|Somewhat tightwad|Slightly leaning tightwad|About the same or neither|Slightly leaning spendthrift|Somewhat spendthrift|Slightly spendthrift|Leaning spendthrift|Spendthrift (difficulty controlling spending),0
TS02,Spending Habits,"Some people have trouble limiting their spending: they often spend money - for example on clothes, meals, vacations - when they would do better not to. How well does this description fit you?",single_select,Never|Rarely|Sometimes|Often|Always,0
TS03,Spending Habits,"Other people have trouble spending money. Perhaps because spending money makes them anxious, they often don't spend money on things they should spend it on. How well does this description fit you?",single_select,Never|Rarely|Sometimes|Often|Always,0
TS04,Spending Habits,"Mr. A is accompanying a good friend on a shopping spree at a local mall. In a large department store with a ""one-day-only sale"" (everything 10-60% off), he realizes he doesn't need anything, yet can't resist and ends up spending almost ₹8,000 on stuff. Mr. B, in the same situation, figures he can get great deals on items he needs, yet the thought of spending the money keeps him from buying. In terms of your own behavior, who are you more similar to?",single_select,More like A (impulse buyer)|Somewhat like A|About the same or neither|Somewhat like B|More like B (reluctant spender),0
NU01,Need for Uniqueness,I often combine possessions in such a way that I create a personal image that cannot be duplicated,likert5,,0
NU02,Need for Uniqueness,Having an eye for products that are interesting and unusual assists me in establishing a distinctive image,likert5,,0
NU03,Need for Uniqueness,"When it comes to the products I buy and the situations in which I use them, I have broken customs and rules",likert5,,0
NU04,Need for Uniqueness,"When a product I own becomes popular among the general population, I begin to use it less",likert5,,0
SM01,Self-Monitoring,"In social situations, I have the ability to alter my behavior if I feel that something else is called for",likert5,,0
SM02,Self-Monitoring,"I have the ability to control the way I come across to people, depending on the impression I wish to give them",likert5,,0
SM03,Self-Monitoring,I have found that I can adjust my behavior to meet the requirements of any situation I find myself in,likert5,,0
SM04,Self-Monitoring,My powers of intuition are quite good when it comes to understanding others' emotions and motives,likert5,,0
MAX01,Maximization,I often find it difficult to shop for a gift for a friend,likert5,,0
MAX02,Maximization,"When shopping, I have a hard time finding clothing that I really love",likert5,,0
MAX03,Maximization,"No matter what I do, I have the highest standards for myself",likert5,,0
MAX04,Maximization,I never settle for second best,likert5,,0
CB01,Amazon.in Shopping Behavior,How many online orders do you place in a typical month (all platforms)?,single_select,0-1|2-4|5-8|9-15|15+,0
CB02,Amazon.in Shopping Behavior,What share of your online shopping happens on Amazon.in (vs. Flipkart/Myntra/quick-commerce/others)?,single_select,Almost all|More than half|About half|Less than half|Very little,0
CB03,Amazon.in Shopping Behavior,What is your typical single-order value on Amazon.in?,single_select,"Under ₹300|₹300-700|₹700-1,500|₹1,500-3,000|Over ₹3,000",0
CB04,Amazon.in Shopping Behavior,Which categories do you buy online most often? (pick up to 3),multi_select,Groceries/household|Electronics|Fashion|Beauty/personal care|Books/media|Home/kitchen|Sports/fitness|Toys/baby|Health/supplements,0
CB05,Amazon.in Shopping Behavior,Do you have an Amazon Prime membership?,single_select,Yes - my own|Yes - shared/family|No,0
CB06,Amazon.in Shopping Behavior,"How long do you research before buying electronics over ₹2,000?",single_select,Minutes|Under an hour|A few days|A week or more,0
CB07,Amazon.in Shopping Behavior,"Before buying, do you compare prices across platforms?",single_select,Always|Usually|Sometimes|Rarely|Never,0
CB08,Amazon.in Shopping Behavior,If the same item costs ₹50 less but arrives 3 days later - which do you pick?,single_select,Cheaper and slower|Pricier and faster|Depends on the item,0
CB09,Amazon.in Shopping Behavior,How often do you return items you bought online?,single_select,Never|Rarely (under 10%)|Sometimes (10-25%)|Often (over 25%),0
CB10,Amazon.in Shopping Behavior,How many reviews do you typically read before buying something new?,single_select,"None|Skim the stars only|A few (1-5)|Many (6-20)|I read extensively, including negative ones",0
CB11,Amazon.in Shopping Behavior,What star rating is your minimum for an unfamiliar product?,single_select,No minimum|3.5+|4.0+|4.3+,0
CB12,Amazon.in Shopping Behavior,Do you write reviews yourself?,single_select,Often|Sometimes|Only when angry|Never,0
CB13,Amazon.in Shopping Behavior,"Do you notice or avoid ""Sponsored"" listings in search results?",single_select,I actively skip them|I notice but don't mind|I don't notice them,0
CB14,Amazon.in Shopping Behavior,"When a product has an ""Amazon's Choice"" or ""Bestseller"" badge, you...",single_select,Trust it more|Ignore badges|Distrust it slightly,0
CB15,Amazon.in Shopping Behavior,How do you usually sort or filter search results?,single_select,Price low to high|By rating|Relevance/default|Price high to low,0
CB16,Amazon.in Shopping Behavior,During big sale events (Great Indian Festival / Prime Day) you typically...,single_select,Plan purchases in advance for the sale|Browse and buy opportunistically|Ignore sales|Avoid them (distrust discounts),0
CB17,Amazon.in Shopping Behavior,How often do you abandon a cart without buying?,single_select,Rarely|Sometimes|Often|Most of the time,0
CB18,Amazon.in Shopping Behavior,Do you use EMI / pay-later options for larger purchases?,single_select,Regularly|Occasionally|Never,0
CB19,Amazon.in Shopping Behavior,How many gifts do you buy online per year?,single_select,0-2|3-6|7-12|More than 12,0
CB20,Amazon.in Shopping Behavior,Which device do you mainly shop on?,single_select,Phone app|Phone browser|Laptop/desktop|Tablet,0
CB21,Amazon.in Shopping Behavior,Delivery to your address is typically...,single_select,Same/next day|2-3 days|4-7 days|Over a week,0
CB22,Amazon.in Shopping Behavior,"Which category would you NEVER buy online, and why?",short_text,,0
VC01,Values and Constraints,Dietary practice (affects food/supplement purchases):,single_select,Vegetarian|Vegan|Eggetarian|Non-vegetarian|Jain|Halal only|Other/none,1
VC02,Values and Constraints,Allergies or ingredients you must avoid:,short_text,,1
VC03,Values and Constraints,"Materials you avoid (e.g., leather, fur, specific metals):",short_text,,1
VC04,Values and Constraints,"Ethical exclusions (e.g., no animal testing, no fast fashion):",short_text,,1
VC05,Values and Constraints,Brands you personally boycott or refuse to buy - and why:,short_text,,1
VC06,Values and Constraints,Fragrance sensitivity (perfumed products)?,single_select,Prefer fragrance-free|Mild only|Love strong fragrance|No preference,0
VC07,Values and Constraints,Would you accept a certified refurbished product at 30% off?,single_select,"Yes, for most categories|Only for some categories|No",0
VC08,Values and Constraints,How important is warranty/after-sales service to you?,single_select,Dealbreaker|Important|Nice to have|Irrelevant,0
VC09,Values and Constraints,Your aesthetic leans...,single_select,Minimal/clean|Bold/colorful|Classic/traditional|Sporty/functional|No consistent aesthetic,0
VC10,Values and Constraints,Colors you gravitate toward in products/clothing:,short_text,,0
VC11,Values and Constraints,Maximum delivery wait you accept for non-urgent items:,single_select,2 days|5 days|1 week|2+ weeks is fine,0
VC12,Values and Constraints,"Sizes you buy (clothing/shoe), if applicable:",short_text,,0
PR01,Predictive Preferences,"You get ₹2,000 guilt-free right now. Which category does it go to?",single_select,Food/snacks|Electronics/accessories|Fashion|Beauty/grooming|Books/hobby|Home/kitchen|Fitness|I'd save it anyway,0
PR02,Predictive Preferences,What is the next thing you are actually planning to buy online?,short_text,,0
PR03,Predictive Preferences,"Your dream ""small splurge"" under ₹10,000 would be:",short_text,,0
PR04,Predictive Preferences,The single item you have repurchased most often online:,short_text,,0
PR05,Predictive Preferences,One brand you would never switch away from - and for what product:,short_text,,0
PR06,Predictive Preferences,A category where the cheapest option always wins for you:,short_text,,0
PR07,Predictive Preferences,A category where you always go premium:,short_text,,0
PR08,Predictive Preferences,Name one item currently in your amazon.in cart or wishlist:,short_text,,0
PR09,Predictive Preferences,"Describe the birthday gift (max ₹1,500) you would buy your closest friend, and why:",long_text,,0
